iter	CrossEntropy
0	0.6874079699
1	0.6817163245
2	0.6764283099
3	0.6716991246
4	0.6662336431
5	0.6622427259
6	0.6582855367
7	0.6547166964
8	0.6510667708
9	0.6479541575
10	0.6446545393
11	0.6412273665
12	0.6384251342
13	0.6352026631
14	0.632695989
15	0.6305736384
16	0.6278402702
17	0.6251705494
18	0.6234194938
19	0.6214557024
20	0.6198880684
21	0.6177231977
22	0.6162344313
23	0.6148937868
24	0.6136164546
25	0.6116463114
26	0.6101235127
27	0.6084247728
28	0.6072878721
29	0.6058602761
30	0.6050101473
31	0.6035105328
32	0.6025929591
33	0.6010371263
34	0.6001488084
35	0.5987860416
36	0.5975233479
37	0.5966975944
38	0.5959329048
39	0.5953558243
40	0.5943713651
41	0.5933907638
42	0.5926722555
43	0.5917797379
44	0.5913383189
45	0.59077083
46	0.5902562121
47	0.5893737711
48	0.5888417948
49	0.5881030377
50	0.5875277039
51	0.5870793109
52	0.586623855
53	0.5862099425
54	0.5855832567
55	0.5850644048
56	0.5845550357
57	0.5839922192
58	0.5836665714
59	0.5832003727
60	0.5819937714
61	0.5817110174
62	0.5813823235
63	0.581126789
64	0.5805595643
65	0.5803390398
66	0.5802395993
67	0.5795292931
68	0.5791184778
69	0.5786646092
70	0.5781304173
71	0.5777086986
72	0.5772200747
73	0.5768789443
74	0.5766627703
75	0.5762178946
76	0.5756126086
77	0.5753415383
78	0.5748466104
79	0.5744151332
80	0.574212423
81	0.5740673944
82	0.5739135631
83	0.5727840271
84	0.5726462831
85	0.5722697939
86	0.5715873688
87	0.5714829448
88	0.5713027124
89	0.5709782254
90	0.5709116911
91	0.5707260094
92	0.570526939
93	0.5701977301
94	0.5700579193
95	0.5699537531
96	0.5696970146
97	0.5696084662
98	0.5695166509
99	0.5693085601
100	0.5689696458
101	0.5685966983
102	0.5685071398
103	0.5680257538
104	0.567877476
105	0.5676754806
106	0.5675300148
107	0.5672030934
108	0.5671154395
109	0.5667926581
110	0.5666939882
111	0.5663310618
112	0.5662307514
113	0.5661155035
114	0.565821616
115	0.565760164
116	0.565526757
117	0.5653901189
118	0.5652459841
119	0.5651708049
120	0.565036551
121	0.564968276
122	0.5648173719
123	0.5645758257
124	0.5644466972
125	0.56441097
126	0.5642388106
127	0.5642343963
128	0.563575544
129	0.5633779249
130	0.5632512432
131	0.5631873988
132	0.5630695327
133	0.5629935273
134	0.5628495115
135	0.5627077526
136	0.5626223073
137	0.5624752539
138	0.56241708
139	0.5623213239
140	0.5619792034
141	0.5619416586
142	0.5618476074
143	0.5615145963
144	0.5613541321
145	0.5612309538
146	0.5606623296
147	0.5605546425
148	0.5604820549
149	0.5602495955
150	0.5599551258
151	0.5597956676
152	0.5596599437
153	0.5591965752
154	0.5587792687
155	0.5586907383
156	0.5582227174
157	0.5580791398
158	0.5580137222
159	0.5574935735
160	0.5574620945
161	0.5574527411
162	0.5573222188
163	0.557226077
164	0.5571244256
165	0.5570966448
166	0.556636839
167	0.5565288065
168	0.5563726286
169	0.5559341132
170	0.5556813061
171	0.5554468917
172	0.5553523049
173	0.5552716149
174	0.5548634276
175	0.5545514336
176	0.5543126518
177	0.5542495372
178	0.5542263096
179	0.5541898818
180	0.5539333238
181	0.5538272963
182	0.5537051813
183	0.5533734319
184	0.552930958
185	0.552723621
186	0.5526367478
187	0.5525673912
188	0.5522455042
189	0.55215845
190	0.551863303
191	0.5518397741
192	0.5518281336
193	0.5517092997
194	0.5514180465
195	0.5512504214
196	0.5510957474
197	0.5510081143
198	0.5507995288
199	0.5507313331
200	0.5506160872
201	0.5503920477
202	0.5502383101
203	0.5499033974
204	0.5498028857
205	0.549655529
206	0.5495751532
207	0.5494691079
208	0.5493175691
209	0.5492639681
210	0.5491663355
211	0.5491252219
212	0.5488725721
213	0.5484622134
214	0.5481163278
215	0.5479852045
216	0.5477864819
217	0.5477027161
218	0.547674203
219	0.5476174697
220	0.5475375123
221	0.5474973177
222	0.547402366
223	0.5470305135
224	0.5469225847
225	0.5467502218
226	0.5467024443
227	0.5466293467
228	0.5462676826
229	0.5462588017
230	0.5461310473
231	0.545899151
232	0.5456465577
233	0.5456038706
234	0.5454693244
235	0.5453588932
236	0.545276137
237	0.545122093
238	0.5450390049
239	0.5450038317
240	0.544811213
241	0.5446681484
242	0.5439838116
243	0.5439008247
244	0.5438277899
245	0.5437331469
246	0.5437002506
247	0.5434887102
248	0.5431100005
249	0.5424651837
250	0.5423596277
251	0.5416851037
252	0.5415735635
253	0.5414836053
254	0.541472531
255	0.5414402394
256	0.5413916392
257	0.5411440359
258	0.5408497426
259	0.540638812
260	0.5404558943
261	0.5399847852
262	0.5398548427
263	0.5394063805
264	0.539347271
265	0.5392749427
266	0.5391063175
267	0.5387440778
268	0.5386684101
269	0.5385046159
270	0.5383345609
271	0.5382528614
272	0.5382513895
273	0.5379983696
274	0.5377056798
275	0.5375975544
276	0.5375916077
277	0.5375022758
278	0.5372782075
279	0.5369542919
280	0.5366229231
281	0.5365683588
282	0.5363517448
283	0.5361606081
284	0.5359575638
285	0.5357209065
286	0.5355035656
287	0.5354588628
288	0.5352299794
289	0.5351784253
290	0.5351587876
291	0.5346027264
292	0.5344649567
293	0.5342994939
294	0.5342197994
295	0.5339959502
296	0.5339519519
297	0.5336350742
298	0.5335468301
299	0.5335121187
300	0.5333621025
301	0.5332960507
302	0.5332338511
303	0.5331408235
304	0.5330303378
305	0.5328845578
306	0.5327591059
307	0.5327227695
308	0.5325191892
309	0.5324539226
310	0.5323004195
311	0.5318442577
312	0.5316875451
313	0.5315585393
314	0.5313798574
315	0.5309804792
316	0.5308944065
317	0.5305670213
318	0.5300377521
319	0.5300023175
320	0.5299074528
321	0.5297585146
322	0.5296938984
323	0.529474459
324	0.5294306169
325	0.5293411935
326	0.5292975235
327	0.5292279984
328	0.5289775432
329	0.5286315396
330	0.5285098723
331	0.5284917321
332	0.5284449769
333	0.5282454396
334	0.5277764019
335	0.527714251
336	0.5271805907
337	0.5269394473
338	0.526825335
339	0.5265229317
340	0.5264823099
341	0.5264413934
342	0.525954889
343	0.5258981626
344	0.5258071313
345	0.5257270279
346	0.525557459
347	0.5253188425
348	0.5251981407
349	0.5250155904
350	0.5249561491
351	0.5248772117
352	0.524602954
353	0.5245366041
354	0.5243690479
355	0.5241201648
356	0.5240900104
357	0.524025242
358	0.523936415
359	0.5236989281
360	0.5236922273
361	0.5234437727
362	0.5234131174
363	0.5233848826
364	0.5233477496
365	0.5232773805
366	0.5231242624
367	0.5228908253
368	0.5226086694
369	0.5225817013
370	0.5225450979
371	0.5225160137
372	0.5222459499
373	0.5221452333
374	0.5221364401
375	0.5216839849
376	0.521460305
377	0.5213744685
378	0.5212141917
379	0.5211443205
380	0.5210673121
381	0.5210275151
382	0.5207272955
383	0.5206525209
384	0.5206221641
385	0.52054969
386	0.5205274608
387	0.5204920353
388	0.5203670594
389	0.5201817887
390	0.5200511739
391	0.520010104
392	0.5199689743
393	0.5197470129
394	0.5196580474
395	0.5194633004
396	0.519442363
397	0.5193554591
398	0.5191180162
399	0.5189763617
400	0.5188443054
401	0.518822267
402	0.51860793
403	0.5185720815
404	0.5185585593
405	0.5185127639
406	0.5183720965
407	0.5183626753
408	0.5182746649
409	0.5182491393
410	0.5180805453
411	0.5180595642
412	0.5180077565
413	0.5179844153
414	0.5177394556
415	0.5173584006
416	0.5173215069
417	0.5170791438
418	0.517004993
419	0.5168468876
420	0.5167145111
421	0.5166172169
422	0.5165503636
423	0.5163115321
424	0.5160911033
425	0.5160913415
426	0.5160721264
427	0.5158037563
428	0.5156507912
429	0.5156188271
430	0.5154143914
431	0.5152860366
432	0.5152572631
433	0.5148777665
434	0.5148296649
435	0.5148009731
436	0.5147650211
437	0.5142468804
438	0.5140457701
439	0.5138987688
440	0.5138631213
441	0.5134905012
442	0.5134265736
443	0.5132389376
444	0.5131981792
445	0.5131502297
446	0.5130408147
447	0.5129726688
448	0.5128576489
449	0.5128436005
450	0.5128151189
451	0.5127862817
452	0.512605955
453	0.5125918226
454	0.51257849
455	0.5122634063
456	0.5120444127
457	0.5120174653
458	0.5120065151
459	0.5119646262
460	0.5117603775
461	0.5115033418
462	0.5114019988
463	0.5113401566
464	0.5112624266
465	0.5112270457
466	0.5110192361
467	0.5109680391
468	0.5109600916
469	0.5109103269
470	0.5106353498
471	0.5105463647
472	0.5105019135
473	0.5104606576
474	0.5104470449
475	0.5099991178
476	0.5098375398
477	0.5098170007
478	0.509776606
