iter	Passed	Remaining
0	3	3867
1	7	3526
2	10	3596
3	14	3610
4	17	3540
5	20	3451
6	24	3422
7	27	3381
8	30	3347
9	33	3357
10	37	3379
11	41	3403
12	44	3415
13	46	3298
14	49	3271
15	51	3184
16	55	3225
17	59	3227
18	62	3226
19	65	3203
20	68	3192
21	71	3185
22	74	3168
23	77	3152
24	80	3139
25	83	3140
26	86	3129
27	90	3138
28	93	3123
29	96	3123
30	99	3120
31	103	3115
32	106	3110
33	109	3113
34	112	3110
35	116	3110
36	118	3093
37	121	3075
38	124	3057
39	126	3037
40	129	3026
41	132	3012
42	134	2997
43	137	2989
44	139	2970
45	142	2956
46	145	2940
47	147	2928
48	150	2914
49	152	2901
50	155	2892
51	158	2882
52	160	2868
53	162	2854
54	165	2847
55	168	2840
56	171	2832
57	173	2825
58	176	2813
59	179	2811
60	182	2804
61	184	2796
62	186	2780
63	189	2771
64	192	2763
65	194	2752
66	196	2740
67	199	2733
68	202	2728
69	204	2721
70	207	2712
71	210	2711
72	213	2705
73	215	2699
74	218	2693
75	221	2687
76	223	2680
77	226	2676
78	229	2669
79	231	2665
80	235	2669
81	238	2675
82	242	2676
83	244	2670
84	247	2663
85	250	2657
86	252	2652
87	255	2645
88	257	2636
89	259	2628
90	262	2619
91	264	2611
92	267	2604
93	269	2595
94	271	2586
95	273	2579
96	276	2571
97	278	2562
98	280	2556
99	283	2554
100	286	2549
101	289	2547
102	291	2542
103	294	2537
104	296	2531
105	299	2529
106	302	2528
107	306	2528
108	309	2528
109	311	2523
110	314	2516
111	316	2508
112	318	2501
113	320	2494
114	323	2487
115	325	2479
116	327	2474
117	330	2467
118	332	2463
119	335	2460
120	337	2453
121	340	2447
122	342	2442
123	345	2438
124	347	2431
125	349	2426
126	352	2421
127	354	2414
128	356	2410
129	359	2407
130	362	2403
131	365	2400
132	367	2397
133	370	2392
134	372	2388
135	375	2382
136	377	2377
137	379	2371
138	382	2368
139	385	2369
140	388	2368
141	391	2367
142	394	2363
143	396	2358
144	399	2353
145	401	2348
146	404	2344
147	406	2340
148	409	2337
149	411	2334
150	414	2330
151	416	2325
152	419	2322
153	422	2318
154	424	2314
155	427	2312
156	430	2309
157	432	2304
158	434	2299
159	437	2294
160	439	2288
161	441	2284
162	444	2281
163	446	2276
164	449	2272
165	451	2269
166	454	2266
167	456	2262
168	459	2258
169	461	2254
170	464	2249
171	466	2247
172	469	2242
173	471	2237
174	473	2232
175	476	2229
176	478	2226
177	481	2221
178	483	2217
179	485	2213
180	488	2209
181	490	2206
182	493	2201
183	495	2197
184	498	2194
185	500	2190
186	502	2186
187	505	2182
188	507	2179
189	510	2175
190	512	2172
191	515	2168
192	517	2165
193	520	2163
194	523	2160
195	526	2158
196	529	2156
197	531	2153
198	533	2149
199	536	2145
200	539	2142
201	541	2138
202	543	2134
203	546	2131
204	548	2128
205	551	2126
206	554	2122
207	556	2119
208	559	2116
209	561	2112
210	563	2108
211	566	2105
212	569	2103
213	571	2099
214	574	2096
215	576	2093
216	579	2090
217	581	2086
218	583	2082
219	586	2079
220	589	2076
221	591	2073
222	594	2071
223	597	2068
224	599	2065
225	602	2062
226	604	2058
227	606	2054
228	609	2051
229	611	2047
230	614	2044
231	616	2041
232	618	2037
233	621	2034
234	624	2031
235	626	2028
236	629	2026
237	632	2023
238	634	2020
239	637	2017
240	639	2015
241	642	2012
242	645	2010
243	648	2007
244	650	2004
245	652	2001
246	655	1998
247	658	1996
248	661	1994
249	664	1993
250	666	1989
251	669	1986
252	671	1983
253	674	1980
254	676	1976
255	679	1973
256	681	1970
257	683	1966
258	686	1963
